1;1;;
2;1;;
3;2;;
4;3;;
5;3;;
6;1;;
7;3;;
8;2;;
9;3;;
10;2;;
11;2;;
12;2;;
13;2;;
14;2;;
15;2;;
16;2;;
17;4;;
18;4;;
19;4;;
20;4;;
21;4;;
22;4;;
23;1;;
24;1;;
25;1;;
26;1;;
27;1;;
28;1;;
29;2;;
30;1;;
31;1;;
32;1;;
33;1;;
34;1;;
37;4;;
38;2;;
39;2;;
40;2;;
41;2;;
42;2;;
43;2;;
44;2;;
45;2;;
46;2;;
47;2;;
48;2;;
49;2;;
50;2;;
51;2;;
52;2;;
53;2;;
54;2;;
55;2;;
56;2;;
57;2;;
58;2;;
59;2;;
61;4;;
62;4;;
63;4;;
64;4;;
65;4;;
66;4;;
67;4;;
68;4;;
69;4;;
70;4;;
71;4;;
72;4;;
73;4;;
74;4;;
75;4;;
76;4;;
77;4;;
78;4;;
79;4;;
81;1;;
82;1;;
83;1;;
84;1;;
85;1;;
86;1;;
87;1;;
88;1;;
89;1;;
90;1;;
91;1;;
92;1;;
93;1;;
94;1;;
95;1;;
96;1;;
97;1;;
98;1;;
99;1;;
100;1;;
101;2;;
102;3;;
103;2;;
104;2;;
105;2;;
106;2;;
107;2;;
108;2;;
110;2;;
111;2;;
112;2;;
113;3;;
114;2;;
115;3;;
116;5;;
117;5;;
118;3;;
119;3;;
120;3;;
121;2;;
123;3;;
124;4;;
125;1;;
126;2;;
128;2;;
129;2;;
130;2;;
131;3;;
132;3;;
133;2;;
134;4;;
135;4;;
136;4;;
137;4;;
138;4;;
139;4;;
140;4;;
141;4;;
142;2;;
143;2;;
144;2;;
145;2;;
146;2;;
147;4;;
148;3;;
149;3;;
150;2;;
151;6;;
152;1;;
154;5;;
155;3;;
156;2;;
157;2;;
158;2;;
159;2;;
160;2;;
161;2;;
162;5;;
163;3;;
164;2;;
165;3;;
166;2;;
167;2;;
168;2;;
169;2;;
170;3;;
171;3;;
172;3;;
173;3;;
174;3;;
175;3;;
176;3;;
177;2;;
178;7;;
179;7;;
180;7;;
181;7;;
182;7;;
183;3;;
184;4;;
185;3;;
186;3;;
187;2;;
188;2;;
189;4;;
190;2;;
191;2;;
192;3;;
193;3;;
194;2;;
195;2;;
196;3;;
197;2;;
198;2;;
199;2;;
200;2;;
201;2;;
202;2;;
203;2;;
204;3;;
205;4;;
206;4;;
207;1;;
208;1;;
209;3;;
210;3;;
211;3;;
212;3;;
213;3;;
214;3;;
215;3;;
216;2;;
