WPBG4ANFN;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;2000
WPBG4ANFN;ZZ_AS_GESTELL_BESPRECHUNG;T1_TI;1400
WPBG4ANFN;ZZ_AS_GESTELL_BESPRECHUNG;T1_TI;1600
WPBG4B;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;2400
WPBG4B;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;2800
WPBG4B;ZZ_AS_GESTELL_BESPRECHUNG;T1_TI;1400
WPBG4B;ZZ_AS_GESTELL_BESPRECHUNG;T1_TI;1600
WPBG4N;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;2200
WPBG4N;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;2400
WPBG4N;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;2800
WPBG4N;ZZ_AS_GESTELL_BESPRECHUNG;T1_TI;1400
WPBG4N;ZZ_AS_GESTELL_BESPRECHUNG;T1_TI;1600
WPBGANFB;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;1600
WPBGANFB;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;1800
WPBGANFB;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;2000
WPBGANFB;ZZ_AS_GESTELL_BESPRECHUNG;T1_TI;1200
WPBGANFN;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;1600
WPBGANFN;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;1800
WPBGANFN;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;2000
WPBGANFN;ZZ_AS_GESTELL_BESPRECHUNG;T1_TI;1000
WPBGANFN;ZZ_AS_GESTELL_BESPRECHUNG;T1_TI;1200
WPBGANFN;ZZ_AS_GESTELL_BESPRECHUNG;T1_TI;800
WPBGANFT;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;1600
WPBGANFT;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;1800
WPBGANFT;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;2000
WPBGANFT;ZZ_AS_GESTELL_BESPRECHUNG;T1_TI;1200
WPBGB;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;1800
WPBGB;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;2000
WPBGB;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;2400
WPBGB;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;2800
WPBGB;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;3200
WPBGB;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;4000
WPBGB;ZZ_AS_GESTELL_BESPRECHUNG;T1_TI;1000
WPBGB;ZZ_AS_GESTELL_BESPRECHUNG;T1_TI;1200
WPBGB;ZZ_AS_GESTELL_BESPRECHUNG;T1_TI;1400
WPBGB;ZZ_AS_GESTELL_BESPRECHUNG;T1_TI;1600
WPBGB;ZZ_AS_GESTELL_BESPRECHUNG;TPL_GEO;BF
WPBGENDB;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;1600
WPBGENDB;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;1800
WPBGENDB;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;2000
WPBGENDB;ZZ_AS_GESTELL_BESPRECHUNG;T1_TI;1200
WPBGENDN;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;1600
WPBGENDN;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;1800
WPBGENDN;ZZ_AS_GESTELL_BESPRECHUNG;B1_TI;2000
WPBGENDN;ZZ_AS_GESTELL_BESPRECHUNG;T1_TI;1000
