WPABESABOG;C;KN;WP;7;;1.0;0;1;C62;
WPABESN;C;KN;WP;88;;23.0;0;1;C62;
WPABH;C;KN;WP;89;90.0;;0;1;C62;
WPABKONA;C;KN;WP;96;;;0;1;C62;
WPABKONN;C;KN;WP;97;;;0;1;C62;
WPABREGS;C;KN;WP;98;;24.0;0;1;C62;
WPADAB;C;KN;WP;100;;;0;1;C62;
WPADDRE;C;KN;WP;102;;;0;1;C62;
WPADKAKLA;C;KN;WP;104;;;0;1;C62;
WPADRRE;C;KN;WP;105;;;0;1;C62;
WPAPGBEE;C;KN;WP;106;;26.0;0;1;C62;
WPAPGBEF;C;KN;WP;365;;26.0;0;1;C62;
WPAPGDB;C;KN;WP;366;;75.0;0;1;C62;
WPAPGFR;C;KN;WP;451;;89.0;0;1;C62;
WPAPGN;C;KN;WP;482;;115.0;0;1;C62;
WPAPGRA;C;KN;WP;524;;116.0;0;1;C62;
WPAPPBEE;C;KN;WP;528;;117.0;0;1;C62;
WPAPPBEF;C;KN;WP;551;;117.0;0;1;C62;
WPAPPDB;C;KN;WP;552;;119.0;0;1;C62;
WPAPPFR;C;KN;WP;593;;132.0;0;1;C62;
WPAPPN;C;KN;WP;597;;138.0;0;1;C62;
WPAPPRA;C;KN;WP;603;;139.0;0;1;C62;
WPAPTBEE;C;KN;WP;604;605.0;141.0;0;1;C62;
WPAPTBEF;C;KN;WP;657;658.0;141.0;0;1;C62;
WPAPTDB;C;KN;WP;659;660.0;166.0;0;1;C62;
WPAPTFR;C;KN;WP;671;672.0;178.0;0;1;C62;
WPAPTN;C;KN;WP;692;693.0;220.0;0;1;C62;
WPAPTRA;C;KN;WP;694;695.0;221.0;0;1;C62;
WPARHMATS;C;KN;WP;696;;;0;1;C62;
WPATS135RD;C;KN;WP;709;;224.0;0;1;C62;
WPATS34RD;C;KN;WP;721;;234.0;0;1;C62;
WPATSANSRD;C;KN;WP;722;;235.0;0;1;C62;
WPATSDABOG;C;KN;WP;723;;236.0;0;1;C62;
WPATSRDBOG;C;KN;WP;736;;237.0;0;1;C62;
WPAUFLPB;C;KN;WP;737;;;0;1;C62;
WPAUFORGFBH;C;KN;WP;869;;;0;1;C62;
WPBABREGS;C;KN;WP;873;;256.0;0;1;C62;
WPBEFPB;C;KN;WP;874;;;0;1;C62;
WPBESCHLAGM;C;KN;WP;880;;;0;1;C62;
WPBG2ENDB;C;KN;WP;881;;259.0;0;1;C62;
WPBG2ENDN;C;KN;WP;905;;259.0;0;1;C62;
WPBG2ZWIN;C;KN;WP;906;;259.0;0;1;C62;
WPBG4ANFB;C;KN;WP;907;;259.0;0;1;C62;
WPBG4ANFN;C;KN;WP;908;;259.0;0;1;C62;
WPBG4B;C;KN;WP;909;;259.0;0;1;C62;
WPBG4N;C;KN;WP;914;;259.0;0;1;C62;
WPBGANFB;C;KN;WP;917;;259.0;0;1;C62;
WPBGANFN;C;KN;WP;921;;259.0;0;1;C62;
WPBGANFT;C;KN;WP;923;;259.0;0;1;C62;
WPBGB;C;KN;WP;924;;295.0;0;1;C62;
WPBGENDB;C;KN;WP;944;;259.0;0;1;C62;
WPBGENDN;C;KN;WP;945;;259.0;0;1;C62;
WPBGENDT;C;KN;WP;946;;259.0;0;1;C62;
WPBGHB;C;KN;WP;947;;259.0;0;1;C62;
WPBGN;C;KN;WP;951;;259.0;0;1;C62;
WPBGO;C;KN;WP;968;;296.0;0;1;C62;
WPBGS;C;KN;WP;970;;259.0;0;1;C62;
WPBGT;C;KN;WP;971;;259.0;0;1;C62;
WPBGZWIN;C;KN;WP;972;;259.0;0;1;C62;
WPBLOCKKOMBI;C;KN;WP;973;974.0;;0;1;C62;
WPBP2ENDB;C;KN;WP;975;;297.0;0;1;C62;
WPBP2ENDN;C;KN;WP;1003;;297.0;0;1;C62;
WPBP2ZWIN;C;KN;WP;1006;;341.0;0;1;C62;
WPBP4ANFB;C;KN;WP;1007;;297.0;0;1;C62;
WPBP4ANFN;C;KN;WP;1008;;297.0;0;1;C62;
WPBP4B;C;KN;WP;1009;;342.0;0;1;C62;
WPBP4N;C;KN;WP;1010;;343.0;0;1;C62;
WPBPANFB;C;KN;WP;1011;;;0;1;C62;
WPBPANFN;C;KN;WP;1012;;;0;1;C62;
WPBPANFT;C;KN;WP;1013;;;0;1;C62;
WPBPB;C;KN;WP;1014;;344.0;0;1;C62;
WPBPENDB;C;KN;WP;1015;;;0;1;C62;
WPBPENDN;C;KN;WP;1016;;;0;1;C62;
WPBPENDT;C;KN;WP;1017;;;0;1;C62;
WPBPHB;C;KN;WP;1018;;345.0;0;1;C62;
WPBPN;C;KN;WP;1020;;346.0;0;1;C62;
WPBPO;C;KN;WP;1021;;347.0;0;1;C62;
WPBPS;C;KN;WP;1022;;;0;1;C62;
WPBPT;C;KN;WP;1023;;;0;1;C62;
WPBPZWIN;C;KN;WP;1024;;;0;1;C62;
WPBT2ENDB;C;KN;WP;1025;1026.0;348.0;0;1;C62;
WPBT2ENDN;C;KN;WP;1028;1029.0;348.0;0;1;C62;
WPBT2ZWIN;C;KN;WP;1030;1031.0;360.0;0;1;C62;
WPBT4ANFB;C;KN;WP;1032;1033.0;360.0;0;1;C62;
WPBT4ANFN;C;KN;WP;1034;1035.0;361.0;0;1;C62;
WPBT4B;C;KN;WP;1036;1037.0;362.0;0;1;C62;
WPBT4N;C;KN;WP;1038;1039.0;363.0;0;1;C62;
