WPABESABOG;;S;B;;;237.0;1;EUR;20230925;99991231;1;
WPABESABOG;AE0510;S;X;;8.0;51.5;1;EUR;20230925;99991231;1;
WPABESABOG;AE0590;S;X;;9.0;28.5;1;EUR;20230925;99991231;1;
WPABESABOG;FU_QM;S;X;;10.0;624.0;1;EUR;20230925;99991231;1;
WPABESABOG;HPL_QM;S;X;;11.0;492.0;1;EUR;20230925;99991231;1;
WPABESABOG;MDF19_QM;S;X;;12.0;564.0;1;EUR;20230925;99991231;1;
WPABESABOG;PRD2;S;X;;13.0;85.0;1;EUR;20230925;99991231;1;
WPABESABOG;PS13;S;X;;14.0;143.0;1;EUR;20230925;99991231;1;
WPABESABOG;TD1_QM;S;X;;15.0;66.0;1;EUR;20230925;99991231;1;
WPABESN;;S;B;;;197.0;1;EUR;20230925;99991231;1;
WPABESN;AE0510;S;X;;8.0;51.5;1;EUR;20230925;99991231;1;
WPABESN;AE0590;S;X;;9.0;28.5;1;EUR;20230925;99991231;1;
WPABESN;FU_QM;S;X;;10.0;624.0;1;EUR;20230925;99991231;1;
WPABESN;HPL_QM;S;X;;11.0;492.0;1;EUR;20230925;99991231;1;
WPABESN;MDF19_QM;S;X;;12.0;564.0;1;EUR;20230925;99991231;1;
WPABESN;PRD2;S;X;;13.0;85.0;1;EUR;20230925;99991231;1;
WPABESN;PS13;S;X;;14.0;143.0;1;EUR;20230925;99991231;1;
WPABESN;TD1_QM;S;X;;15.0;66.0;1;EUR;20230925;99991231;1;
WPABH;;S;B;;;33.5;1;EUR;20230925;99991231;1;
WPABKONA;;S;B;;;8.0;1;EUR;20230925;99991231;1;
WPABKONN;;S;B;;;8.0;1;EUR;20230925;99991231;1;
WPABREGS;;S;B;;;488.0;1;EUR;20230925;99991231;1;
WPABREGS;ADS2;S;X;;99.0;108.0;1;EUR;20230925;99991231;1;
WPABREGS;FU_QM;S;X;;10.0;624.0;1;EUR;20230925;99991231;1;
WPABREGS;HPL_QM;S;X;;11.0;492.0;1;EUR;20230925;99991231;1;
WPABREGS;MDF19_QM;S;X;;12.0;564.0;1;EUR;20230925;99991231;1;
WPABREGS;PS13;S;X;;14.0;143.0;1;EUR;20230925;99991231;1;
WPABREGS;TD1_QM;S;X;;15.0;66.0;1;EUR;20230925;99991231;1;
WPADAB;;S;B;;;8.0;1;EUR;20230925;99991231;1;
WPADDRE;;S;B;;;7.3;1;EUR;20230925;99991231;1;
WPADKAKLA;;S;B;;;8.0;1;EUR;20230925;99991231;1;
WPADRRE;;S;B;;;7.3;1;EUR;20230925;99991231;1;
WPAPGBEE;;S;B;;;294.0;1;EUR;20230925;99991231;1;
WPAPGBEE;AP35;S;X;;107.0;152.0;1;EUR;20230925;99991231;1;
WPAPGBEE;DY1;S;X;;108.0;78.0;1;EUR;20230925;99991231;1;
WPAPGBEE;DY11;S;X;;109.0;20.5;1;EUR;20230925;99991231;1;
WPAPGBEE;DY5;S;X;;110.0;69.0;1;EUR;20230925;99991231;1;
WPAPGBEE;E01;S;X;;111.0;91.5;1;EUR;20230925;99991231;1;
WPAPGBEE;E02;S;X;;112.0;91.5;1;EUR;20230925;99991231;1;
WPAPGBEE;E03;S;X;;113.0;86.0;1;EUR;20230925;99991231;1;
WPAPGBEE;E21;S;X;;114.0;293.0;1;EUR;20230925;99991231;1;
WPAPGBEE;E22;S;X;;115.0;325.0;1;EUR;20230925;99991231;1;
WPAPGBEE;FSD1;S;X;;116.0;-30.0;1;EUR;20230925;99991231;1;
WPAPGBEE;FSD10;S;X;;117.0;-30.0;1;EUR;20230925;99991231;1;
WPAPGBEE;FSD11;S;X;;118.0;-30.0;1;EUR;20230925;99991231;1;
WPAPGBEE;FSD15;S;X;;119.0;56.0;1;EUR;20230925;99991231;1;
WPAPGBEE;FSD16;S;X;;120.0;56.0;1;EUR;20230925;99991231;1;
WPAPGBEE;FSD21;S;X;;121.0;28.0;1;EUR;20230925;99991231;1;
WPAPGBEE;FSD3;S;X;;122.0;52.0;1;EUR;20230925;99991231;1;
WPAPGBEE;GC20;S;X;;123.0;1124.0;1;EUR;20230925;99991231;1;
WPAPGBEE;GC31;S;X;;124.0;322.0;1;EUR;20230925;99991231;1;
WPAPGBEE;GC36;S;X;;125.0;792.0;1;EUR;20230925;99991231;1;
