ZZ_AS_GESTELL_BERATER;BESTUECKUNG_2_2FACH;22;274.0;63.0;C;5;0;0;0;0;0;C;0;
ZZ_AS_GESTELL_BERATER;STECKDOSE_3_FACH;23;275.0;61.0;C;5;0;1;0;0;0;C;0;
ZZ_AS_GESTELL_BERATER;BESTUECKUNG_1_3FACH;24;279.0;64.0;C;5;0;0;0;0;0;C;0;
ZZ_AS_GESTELL_BERATER;BESTUECKUNG_2_3FACH;25;286.0;65.0;C;5;0;0;0;0;0;C;0;
ZZ_AS_GESTELL_BERATER;STECKDOSE_4_FACH;26;287.0;61.0;C;5;0;1;0;0;0;C;0;
ZZ_AS_GESTELL_BERATER;BESTUECKUNG_1_4FACH;27;291.0;66.0;C;5;0;0;0;0;0;C;0;
ZZ_AS_GESTELL_BERATER;BESTUECKUNG_2_4FACH;28;302.0;67.0;C;5;0;0;0;0;0;C;0;
ZZ_AS_GESTELL_BERATER;STECKDOSE_5_FACH;29;303.0;61.0;C;5;0;1;0;0;0;C;0;
ZZ_AS_GESTELL_BERATER;BESTUECKUNG_1_5FACH;30;307.0;68.0;C;5;0;0;0;0;0;C;0;
ZZ_AS_GESTELL_BERATER;BESTUECKUNG_2_5FACH;31;310.0;69.0;C;5;0;0;0;0;0;C;0;
ZZ_AS_GESTELL_BERATER;BESTUECKUNG_1_PROFB;32;311.0;61.0;C;5;0;1;0;0;0;C;0;
ZZ_AS_GESTELL_BERATER;ZUFUEHRKABEL_1;33;320.0;61.0;C;5;0;1;0;0;0;C;0;
ZZ_AS_GESTELL_BERATER;ZUFUEHRKABEL_2;34;336.0;72.0;C;4;0;1;0;0;0;C;0;
ZZ_AS_GESTELL_BERATER;KUPPLUNGSKABEL_1;35;338.0;61.0;C;5;0;1;0;0;0;C;0;
ZZ_AS_GESTELL_BERATER;KUPPLUNGSKABEL_2;36;355.0;73.0;C;5;0;1;0;0;0;C;0;
ZZ_AS_GESTELL_BERATER;VERTEILER_1;37;357.0;61.0;C;5;0;1;0;0;0;C;0;
ZZ_AS_GESTELL_BERATER;LIEFERUNG;38;84.0;74.0;C;3;0;1;0;0;0;C;0;
ZZ_AS_GESTELL_BERATER;MATNR;39;87.0;;C;18;0;0;0;0;0;R;0;
ZZ_AS_GESTELL_BERATER;CACHE;40;;;N;4;2;0;0;0;0;R;0;
ZZ_AS_GESTELL_BERATER;CACHE_4;41;;;C;6;0;0;0;0;0;R;0;
ZZ_AS_GESTELL_BERATER;TZWISCHENSPEICHER2;42;;;N;6;3;1;0;0;0;R;0;
ZZ_AS_GESTELL_BERATER;TGEWICHT;43;;;N;6;3;1;0;0;0;R;0;
ZZ_AS_GESTELL_BENCH;B1_TI;1;16.0;;N;4;0;1;0;0;0;C;0;
ZZ_AS_GESTELL_BENCH;T1_TI;2;19.0;;N;4;0;1;0;0;0;C;0;
ZZ_AS_GESTELL_BENCH;GST_DESIGN;3;24.0;;C;4;0;1;0;0;0;C;0;
ZZ_AS_GESTELL_BENCH;F2;4;212.0;76.0;C;4;0;1;0;0;0;C;0;
ZZ_AS_GESTELL_BENCH;H_VERSTELL;5;214.0;;C;5;0;1;0;0;0;C;0;
ZZ_AS_GESTELL_BENCH;DISPLAY;6;219.0;35.0;C;4;0;1;0;0;0;C;0;
ZZ_AS_GESTELL_BENCH;F211;7;224.0;36.0;C;2;0;1;0;0;0;C;0;
ZZ_AS_GESTELL_BENCH;PIEZO;8;225.0;37.0;C;5;0;1;0;0;0;C;0;
ZZ_AS_GESTELL_BENCH;KABELWANNE;9;249.0;77.0;C;5;0;1;0;0;0;C;0;
ZZ_AS_GESTELL_BENCH;F35;10;431.0;58.0;C;3;0;1;0;0;0;C;0;
ZZ_AS_GESTELL_BENCH;KABELWANNE_BENCH;11;432.0;80.0;C;4;0;1;0;0;0;C;0;
ZZ_AS_GESTELL_BENCH;KABELFUEHRUNG;12;436.0;81.0;C;4;0;1;0;0;0;C;0;
ZZ_AS_GESTELL_BENCH;ELEKTRO_LAND;13;254.0;59.0;C;2;0;1;0;0;0;C;0;
