1;1;1;3;C
1;2;2;3;P
1;3;3;3;P
1;4;4;3;C
1;5;5;3;PCKG
2;1;6;3;P
3;1;7;3;P
4;1;8;1;C
5;1;9;3;C
6;1;10;1;C
7;1;11;1;C
8;1;12;1;C
9;1;13;1;C
10;1;14;1;C
11;1;15;1;C
12;1;16;1;C
13;1;17;1;C
14;1;18;1;C
15;1;19;1;C
16;1;20;1;C
17;1;21;1;C
18;1;22;1;C
19;1;23;1;C
20;1;24;3;P
21;1;25;1;C
22;1;25;1;C
22;2;26;3;P
23;1;1;3;C
23;2;2;3;P
23;3;3;3;P
23;5;5;3;PCKG
23;4;27;3;C
24;1;1;3;C
24;2;2;3;P
24;3;3;3;P
24;5;5;3;PCKG
24;4;28;3;C
25;1;29;1;C
26;5;5;3;PCKG
26;1;30;3;P
26;2;31;3;P
26;3;32;3;P
26;4;33;3;C
27;1;34;3;C
28;3;7;3;P
28;1;35;3;C
28;2;36;3;C
28;4;37;3;P
29;1;38;1;C
30;1;39;1;C
31;1;40;1;C
32;1;41;1;C
33;1;42;1;C
34;1;43;1;C
35;1;44;1;C
35;2;45;3;P
36;1;46;1;C
37;1;44;1;C
37;2;47;3;P
38;1;48;1;C
39;1;49;1;C
39;2;50;3;P
40;1;51;1;C
41;1;52;1;C
42;1;53;1;C
43;1;54;1;C
44;1;55;1;C
45;1;56;1;C
46;1;57;1;C
47;1;58;1;C
48;1;59;1;C
48;2;60;3;P
49;1;61;1;C
50;1;62;1;C
51;1;63;1;C
51;2;64;3;P
52;1;65;1;C
53;1;66;1;C
54;1;67;1;C
54;2;68;3;P
55;1;69;1;C
55;2;70;3;P
56;1;71;1;C
56;2;72;3;P
57;1;73;3;P
58;1;74;1;C
59;1;75;1;C
59;2;76;3;P
60;1;77;3;P
60;2;78;5;C
61;1;79;1;C
62;1;80;2;C
62;2;81;1;C
63;1;82;2;C
63;2;83;1;C
64;1;84;2;C
64;2;85;1;C
65;1;86;2;C
65;2;87;1;C
66;1;88;2;C
66;2;89;1;C
67;1;90;2;C
67;2;91;1;C
68;1;92;2;C
68;2;93;1;C
69;1;94;2;C
69;2;95;1;C
70;1;96;1;C
71;1;97;1;C
72;1;98;1;C
73;2;79;1;C
73;1;99;1;C
74;1;100;3;P
75;5;5;3;PCKG
75;1;30;3;P
75;2;31;3;P
75;3;101;3;P
75;4;102;3;C
76;2;7;3;P
76;1;35;3;C
76;3;37;3;P
77;1;73;3;P
78;1;103;1;C
79;1;104;1;C
80;1;105;1;C
80;2;106;3;P
81;1;107;1;C
81;2;108;3;P
82;1;109;1;C
83;1;110;3;P
84;1;111;1;C
85;1;112;1;C
86;1;113;1;C
87;1;114;1;C
88;1;115;3;P
89;5;5;3;PCKG
89;1;30;3;P
89;3;31;3;P
89;2;32;3;P
89;4;116;3;C
90;1;117;1;C
91;1;118;1;C
92;1;119;1;C
93;1;120;1;C
94;1;121;1;C
95;1;122;1;C
96;1;123;1;C
97;1;124;1;C
98;1;125;1;C
99;1;126;1;C
100;1;127;1;C
101;1;128;1;C
102;1;129;1;C
103;1;130;1;C
104;1;131;1;C
105;1;132;1;C
106;1;133;1;C
106;2;134;3;P
107;1;135;1;C
108;1;136;1;C
109;1;137;1;C
110;1;73;3;P
111;1;138;1;C
112;1;139;1;C
113;1;140;1;C
114;1;141;1;C
115;5;5;3;PCKG
115;1;30;3;P
115;3;31;3;P
115;2;32;3;P
115;4;116;3;C
116;4;5;3;PCKG
116;1;30;3;P
116;2;31;3;P
116;3;142;3;P
117;6;5;3;PCKG
117;3;32;3;P
117;1;143;3;C
117;2;144;3;P
117;4;145;3;P
117;5;146;3;P
118;1;147;1;C
119;5;3;3;P
119;7;5;3;PCKG
119;3;32;3;P
119;1;143;3;C
119;2;145;3;P
119;4;146;3;P
119;6;148;3;P
120;1;149;1;C
120;2;150;1;C
121;1;151;3;C
122;1;152;1;C
123;1;153;1;C
123;2;154;3;P
124;1;155;1;C
125;1;156;1;C
126;1;157;1;C
126;2;157;2;C
126;3;158;3;P
127;1;159;1;C
128;1;160;1;C
128;2;161;3;P
129;1;162;1;C
130;1;163;1;C
130;2;164;3;P
131;1;165;1;C
132;6;5;3;PCKG
132;4;32;3;P
132;1;143;3;C
132;3;145;3;P
132;5;146;3;P
132;2;166;3;P
133;1;149;1;C
134;2;161;3;P
134;1;167;1;C
135;2;164;3;P
135;1;168;1;C
136;1;169;1;C
137;1;170;1;C
138;6;3;3;P
138;7;5;3;PCKG
138;4;32;3;P
138;1;143;3;C
138;3;145;3;P
138;5;146;3;P
138;2;166;3;P
139;6;3;3;P
139;7;5;3;PCKG
139;4;142;3;P
139;1;143;3;C
139;3;145;3;P
139;5;146;3;P
139;2;166;3;P
140;1;154;3;P
141;2;1;3;C
141;6;2;3;P
141;10;5;3;PCKG
141;4;101;3;P
