128;nl;1;/;A-poot ondersteldesign (GTC2)
129;de;1;/;A-Fuß Gestelldesign (GTC3)
129;en;1;/;A-leg frame design (GTC3)
129;fr;1;/;Pied-A design de piétement (GTC3)
129;nl;1;/;A-poot ondersteldesign (GTC3)
130;de;1;/;A-Fuß Gestelldesign (GTC4)
130;en;1;/;A-leg frame design (GTC4)
130;fr;1;/;Pied-A design de piétement (GTC4)
130;nl;1;/;A-poot ondersteldesign (GTC4)
131;de;1;/;Höhenverstellung (HV32L2)
131;en;1;/;Height adjustment (HV32L2)
131;fr;1;/;Réglage en hauteur (HV32L2)
131;nl;1;/;Hoogteverstelling (HV32L2)
132;de;1;/;Höhenverstellung (HV32T2)
132;en;1;/;Height adjustment (HV32T2)
132;fr;1;/;Réglage en hauteur (HV32T2)
132;nl;1;/;Hoogteverstelling (HV32T2)
133;de;1;/;Motorverstellung (HV33L2)
133;en;1;/;Motorised adjustment (HV33L2)
133;fr;1;/;Réglage motorisé (HV33L2)
133;nl;1;/;Motorverstelling (HV33L2)
134;de;1;/;Motorverstellung (HV33T2)
134;en;1;/;Motorised adjustment (HV33T2)
134;fr;1;/;Réglage motorisé (HV33T2)
134;nl;1;/;Motorverstelling (HV33T2)
135;de;1;/;Liftverstellung (HV55T2)
135;en;1;/;Lift adjustment (HV55T2)
135;fr;1;/;Réglage Lift (HV55T2)
135;nl;1;/;Liftverstelling (HV55T2)
136;de;1;/;Motorverstellung (HV56L2)
136;en;1;/;Motorised adjustment (HV56L2)
136;fr;1;/;Réglage motorisé (HV56L2)
136;nl;1;/;Motorverstelling (HV56L2)
137;de;1;/;Motorverstellung (HV56T2)
137;en;1;/;Motorised adjustment (HV56T2)
137;fr;1;/;Réglage motorisé (HV56T2)
137;nl;1;/;Motorverstelling (HV56T2)
138;de;1;/;Höhenverstellung (HV9L2)
138;en;1;/;Height adjustment (HV9L2)
138;fr;1;/;Réglage en hauteur (HV9L2)
138;nl;1;/;Hoogteverstelling (HV9L2)
139;de;1;/;Kupplungskabel (KK01)
139;en;1;/;Connection lead (KK01)
139;fr;1;/;Câble de couplage (KK01)
139;nl;1;/;Koppelingskabel (KK01)
140;de;1;/;Kupplungskabel (KK02)
140;en;1;/;Connection lead (KK02)
140;fr;1;/;Câble de couplage (KK02)
140;nl;1;/;Koppelingskabel (KK02)
141;de;1;/;Kupplungskabel (KK03)
141;en;1;/;Connection lead (KK03)
141;fr;1;/;Câble de couplage (KK03)
141;nl;1;/;Koppelingskabel (KK03)
142;de;1;/;Kupplungskabel (KK04)
142;en;1;/;Connection lead (KK04)
142;fr;1;/;Câble de couplage (KK04)
142;nl;1;/;Koppelingskabel (KK04)
143;de;1;/;Kupplungskabel (KK05)
143;en;1;/;Connection lead (KK05)
143;fr;1;/;Câble de couplage (KK05)
143;nl;1;/;Koppelingskabel (KK05)
144;de;1;/;Kupplungskabel (KK06)
144;en;1;/;Connection lead (KK06)
144;fr;1;/;Câble de couplage (KK06)
144;nl;1;/;Koppelingskabel (KK06)
145;de;1;/;Kupplungskabel (KK07)
145;en;1;/;Connection lead (KK07)
145;fr;1;/;Câble de couplage (KK07)
145;nl;1;/;Koppelingskabel (KK07)
146;de;1;/;Kupplungskabel (KK08)
146;en;1;/;Connection lead (KK08)
146;fr;1;/;Câble de couplage (KK08)
146;nl;1;/;Koppelingskabel (KK08)
147;de;1;/;Kupplungskabel (KK09)
147;en;1;/;Connection lead (KK09)
147;fr;1;/;Câble de couplage (KK09)
147;nl;1;/;Koppelingskabel (KK09)
148;de;1;/;Kupplungskabel (KK10)
148;en;1;/;Connection lead (KK10)
148;fr;1;/;Câble de couplage (KK10)
148;nl;1;/;Koppelingskabel (KK10)
149;de;1;/;Kupplungskabel (KK11)
149;en;1;/;Connection lead (KK11)
149;fr;1;/;Câble de couplage (KK11)
149;nl;1;/;Koppelingskabel (KK11)
150;de;1;/;Kupplungskabel (KK12)
150;en;1;/;Connection lead (KK12)
150;fr;1;/;Câble de couplage (KK12)
150;nl;1;/;Koppelingskabel (KK12)
151;de;1;/;Kupplungskabel (KK13)
151;en;1;/;Connection lead (KK13)
151;fr;1;/;Câble de couplage (KK13)
151;nl;1;/;Koppelingskabel (KK13)
152;de;1;/;Kupplungskabel (KK14)
152;en;1;/;Connection lead (KK14)
152;fr;1;/;Câble de couplage (KK14)
152;nl;1;/;Koppelingskabel (KK14)
153;de;1;/;Kupplungskabel (KK15)
153;en;1;/;Connection lead (KK15)
153;fr;1;/;Câble de couplage (KK15)
153;nl;1;/;Koppelingskabel (KK15)
154;de;1;/;Kupplungskabel (KK16)
154;en;1;/;Connection lead (KK16)
154;fr;1;/;Câble de couplage (KK16)
154;nl;1;/;Koppelingskabel (KK16)
155;de;1;/;Kabelklammern (KKL5)
155;en;1;/;Cable clips (KKL5)
155;fr;1;/;Pinces pour câbles (KKL5)
155;nl;1;/;Kabelklemmen (KKL5)
156;de;1;/;Schwarz Struktur (KSS4)
156;en;1;/;Black textured (KSS4)
156;fr;1;/;Noir structurée (KSS4)
156;nl;1;/;Zwart structuur (KSS4)
157;de;1;/;Kabelwanne (KW20)
157;en;1;/;Cable tray (KW20)
157;fr;1;/;Goulotte de câblage (KW20)
157;nl;1;/;Kabelgoot (KW20)
158;de;1;/;Kabelwanne (KW2114)
158;en;1;/;Cable tray (KW2114)
158;fr;1;/;Goulotte de câblage (KW2114)
158;nl;1;/;Kabelgoot (KW2114)
159;de;1;/;Lieferung demontiert (LF1)
159;en;1;/;Delivery, disassembled (LF1)
159;fr;1;/;Démonté à la livraison (LF1)
159;nl;1;/;gedemonteerde levering (LF1)
160;de;1;/;2x Schuko (NB201)
160;en;1;/;2x Schuko (NB201)
160;fr;1;/;2x Schuko (NB201)
160;nl;1;/;2x Schuko (NB201)
161;de;1;/;2x Schuko rot (NB202)
161;en;1;/;2x Schuko red (NB202)
161;fr;1;/;2x Schuko rouge (NB202)
161;nl;1;/;2x Schuko rood (NB202)
162;de;1;/;3x Schuko (NB301)
162;en;1;/;3x Schuko (NB301)
162;fr;1;/;3x Schuko (NB301)
162;nl;1;/;3x Schuko (NB301)
163;de;1;/;3x Schuko rot (NB302)
163;en;1;/;3x Schuko red (NB302)
163;fr;1;/;3x Schuko rouge (NB302)
163;nl;1;/;3x Schuko rood (NB302)
164;de;1;/;3x Schuko weiß (NB303)
164;en;1;/;3x Schuko white (NB303)
164;fr;1;/;3x Schuko blanc (NB303)
164;nl;1;/;3x Schuko wit (NB303)
165;de;1;/;3x Schuko mit Rahmen (wsw) (NB304)
165;en;1;/;3x Schuko with frame (hvh) (NB304)
165;fr;1;/;3x Schuko avec cadre (hvh) (NB304)
165;nl;1;/;3x Schuko met frame (hvh) (NB304)
166;de;1;/;2x Schuko, 1x2 RJ45 CAT.6, mit Rahmen (NB307)
166;en;1;/;2x Schuko, 1x2 RJ45 CAT.6, with frame (NB307)
166;fr;1;/;2x Schuko, 1x2 RJ45 CAT.6, avec cadre (NB307)
166;nl;1;/;2x Schuko, 1x2 RJ45 CAT.6, met frame (NB307)
167;de;1;/;2x Schuko, 1x2 USB-Charger Typ A+C (NB308)
167;en;1;/;2x Schuko, 1x2 USB-Charger Type A+C (NB308)
167;fr;1;/;2x Schuko, 1x2 USB-Charger Type A+C (NB308)
167;nl;1;/;2x Schuko, 1x2 USB-Charger Type A+C (NB308)
168;de;1;/;3x Schuko, 1x2 RJ45 CAT.5, 2 Schrauben (NB401)
168;en;1;/;3x Schuko, 1x2 RJ45 CAT.5, 2 screws (NB401)
168;fr;1;/;3x Schuko, 1x2 RJ45 CAT.5, 2 vis (NB401)
168;nl;1;/;3x Schuko, 1x2 RJ45 CAT.5, 2 schroeven (NB401)
169;de;1;/;2x Schuko, 1x2 RJ45, 1x HDMI (NB404)
169;en;1;/;2x Schuko, 1x2 RJ45, 1x HDMI (NB404)
169;fr;1;/;2x Schuko, 1x2 RJ45, 1x HDMI (NB404)
169;nl;1;/;2x Schuko, 1x2 RJ45, 1x HDMI (NB404)
170;de;1;/;3x Schuko, 1x2 USB Daten (NB406)
170;en;1;/;3x Schuko, 1x2 USB data (NB406)
170;fr;1;/;3x Schuko, 1x2 USB données (NB406)
170;nl;1;/;3x Schuko, 1x2 USB data (NB406)
171;de;1;/;4x Schuko rot (dddd) (NB407)
171;en;1;/;4x Schuko red (dddd) (NB407)
171;fr;1;/;4x Schuko rouge (dddd) (NB407)
171;nl;1;/;4x Schuko rood (dddd) (NB407)
172;de;1;/;4x Schuko mit Rahmen (dddd), 2 Schrauben (NB413)
172;en;1;/;4x Schuko with frame (dddd), 2 screws (NB413)
172;fr;1;/;4x Schuko avec cadre (dddd), 2 vis (NB413)
172;nl;1;/;4x Schuko met frame (dddd), 2 schroeven (NB413)
173;de;1;/;4x Schuko mit Rahmen (ssss) (NB415)
173;en;1;/;4x Schuko with frame (vvvv) (NB415)
173;fr;1;/;4x Schuko avec cadre (vvvv) (NB415)
173;nl;1;/;4x Schuko met frame (vvvv) (NB415)
174;de;1;/;2x Schuko, 1x2 RJ45, 1x2 USB Daten (NB419)
174;en;1;/;2x Schuko, 1x2 RJ45, 1x2 USB data (NB419)
174;fr;1;/;2x Schuko, 1x2 RJ45, 1x2 USB données (NB419)
174;nl;1;/;2x Schuko, 1x2 RJ45, 1x2 USB data (NB419)
175;de;1;/;3x Schuko, 1x2 USB-Charger A+C (NB420)
175;en;1;/;3x Schuko, 1x2 USB-Charger A+C (NB420)
175;fr;1;/;3x Schuko, 1x2 USB-Charger A+C (NB420)
175;nl;1;/;3x Schuko, 1x2 USB-Charger A+C (NB420)
176;de;1;/;2x Schuko, 1x2 USB Charger A+C, 1x HDMI (NB421)
176;en;1;/;2x Schuko, 1x2 USB Charger A+C, 1x HDMI (NB421)
176;fr;1;/;2x Schuko, 1x2 USB Charger A+C, 1x HDMI (NB421)
176;nl;1;/;2x Schuko, 1x2 USB Charger A+C, 1x HDMI (NB421)
177;de;1;/;2x Schuko, 1x2 RJ45, 1x2 USB Charger A+C (NB422)
177;en;1;/;2x Schuko, 1x2 RJ45, 1x2 USB Charger A+C (NB422)
177;fr;1;/;2x Schuko, 1x2 RJ45, 1x2 USB Charger A+C (NB422)
177;nl;1;/;2x Schuko, 1x2 RJ45, 1x2 USB Charger A+C (NB422)
178;de;1;/;3x Schuko, 1x2 USB Charger, 1x RJ45 (NB501)
178;en;1;/;3x Schuko, 1x2 USB Charger, 1x RJ45 (NB501)
178;fr;1;/;3x Schuko, 1x2 USB Charger, 1x RJ45 (NB501)
178;nl;1;/;3x Schuko, 1x2 USB Charger, 1x RJ45 (NB501)
179;de;1;/;5x Schuko (NB502)
179;en;1;/;5x Schuko (NB502)
179;fr;1;/;5x Schuko (NB502)
179;nl;1;/;5x Schuko (NB502)
180;de;1;/;3x Schuko, 1x2 USB Charger A+C (PB302)
180;en;1;/;3x Schuko, 1x2 USB Charger A+C (PB302)
180;fr;1;/;3x Schuko, 1x2 USB Charger A+C (PB302)
180;nl;1;/;3x Schuko, 1x2 USB Charger A+C (PB302)
181;de;1;/;5x Schuko (PB501)
181;en;1;/;5x Schuko (PB501)
181;fr;1;/;5x Schuko (PB501)
181;nl;1;/;5x Schuko (PB501)
182;de;1;/;3x Schuko, 1x2 RJ45, 1x2 HDMI (PB502)
182;en;1;/;3x Schuko, 1x2 RJ45, 1x2 HDMI (PB502)
182;fr;1;/;3x Schuko, 1x2 RJ45, 1x2 HDMI (PB502)
182;nl;1;/;3x Schuko, 1x2 RJ45, 1x2 HDMI (PB502)
183;de;1;/;6x Schuko (PB601)
183;en;1;/;6x Schuko (PB601)
183;fr;1;/;6x Schuko (PB601)
183;nl;1;/;6x Schuko (PB601)
184;de;1;/;1x Thermo-Sicherung, 7x Schuko (PB801)
184;en;1;/;1x Thermo-fuse, 7x Schuko (PB801)
184;fr;1;/;1x Thermo-fusible, 7x Schuko (PB801)
184;nl;1;/;1x Thermo-zekering, 7x Schuko (PB801)
185;de;1;/;9x Schuko schwarz/rot (PB901)
185;en;1;/;9x Schuko black/red (PB901)
185;fr;1;/;9x Schuko noir/rouge (PB901)
185;nl;1;/;9x Schuko zwart/rood (PB901)
186;de;1;/;6x Schuko, 3x2 USB Daten (PB902)
186;en;1;/;6x Schuko, 3x2 USB data (PB902)
186;fr;1;/;6x Schuko, 3x2 USB données (PB902)
186;nl;1;/;6x Schuko, 3x2 USB data (PB902)
187;de;1;/;Kollisionsschutzsensor (PIZ1)
187;en;1;/;Collision prevention sensor (PIZ1)
187;fr;1;/;Protection anticollisions (PIZ1)
187;nl;1;/;Stootbescherming (PIZ1)
188;de;1;/;Verteiler (VT01)
188;en;1;/;Splitter (VT01)
188;fr;1;/;Distributeur (VT01)
188;nl;1;/;Verdeler (VT01)
189;de;1;/;Verteiler (VT02)
189;en;1;/;Splitter (VT02)
189;fr;1;/;Distributeur (VT02)
189;nl;1;/;Verdeler (VT02)
190;de;1;/;Verteiler (VT03)
190;en;1;/;Splitter (VT03)
190;fr;1;/;Distributeur (VT03)
190;nl;1;/;Verdeler (VT03)
191;de;1;/;Verteiler (VT05)
191;en;1;/;Splitter (VT05)
191;fr;1;/;Distributeur (VT05)
191;nl;1;/;Verdeler (VT05)
192;de;1;/;Verteiler (VT06)
192;en;1;/;Splitter (VT06)
192;fr;1;/;Distributeur (VT06)
192;nl;1;/;Verdeler (VT06)
193;de;1;/;Stromzuführungskabel (ZK01)
193;en;1;/;Mains lead (ZK01)
193;fr;1;/;Câble d´alimentation (ZK01)
193;nl;1;/;Stroomtoevoerkabel (ZK01)
194;de;1;/;Stromzuführungskabel (ZK02)
194;en;1;/;Mains lead (ZK02)
194;fr;1;/;Câble d´alimentation (ZK02)
194;nl;1;/;Stroomtoevoerkabel (ZK02)
195;de;1;/;Stromzuführungskabel (ZK03)
195;en;1;/;Mains lead (ZK03)
195;fr;1;/;Câble d´alimentation (ZK03)
195;nl;1;/;Stroomtoevoerkabel (ZK03)
196;de;1;/;Stromzuführungskabel (ZK04)
196;en;1;/;Mains lead (ZK04)
196;fr;1;/;Câble d´alimentation (ZK04)
196;nl;1;/;Stroomtoevoerkabel (ZK04)
197;de;1;/;Stromzuführungskabel (ZK05)
197;en;1;/;Mains lead (ZK05)
197;fr;1;/;Câble d´alimentation (ZK05)
197;nl;1;/;Stroomtoevoerkabel (ZK05)
198;de;1;/;Stromzuführungskabel (ZK06)
198;en;1;/;Mains lead (ZK06)
198;fr;1;/;Câble d´alimentation (ZK06)
198;nl;1;/;Stroomtoevoerkabel (ZK06)
199;de;1;/;Stromzuführungskabel (ZK07)
199;en;1;/;Mains lead (ZK07)
199;fr;1;/;Câble d´alimentation (ZK07)
199;nl;1;/;Stroomtoevoerkabel (ZK07)
200;de;1;/;Stromzuführungskabel (ZK08)
200;en;1;/;Mains lead (ZK08)
200;fr;1;/;Câble d´alimentation (ZK08)
200;nl;1;/;Stroomtoevoerkabel (ZK08)
201;de;1;/;Stromzuführungskabel (ZK09)
201;en;1;/;Mains lead (ZK09)
201;fr;1;/;Câble d´alimentation (ZK09)
201;nl;1;/;Stroomtoevoerkabel (ZK09)
202;de;1;/;Stromzuführungskabel (ZK10)
202;en;1;/;Mains lead (ZK10)
202;fr;1;/;Câble d´alimentation (ZK10)
202;nl;1;/;Stroomtoevoerkabel (ZK10)
203;de;1;/;Stromzuführungskabel (ZK11)
203;en;1;/;Mains lead (ZK11)
203;fr;1;/;Câble d´alimentation (ZK11)
203;nl;1;/;Stroomtoevoerkabel (ZK11)
204;de;1;/;Stromzuführungskabel (ZK12)
204;en;1;/;Mains lead (ZK12)
204;fr;1;/;Câble d´alimentation (ZK12)
204;nl;1;/;Stroomtoevoerkabel (ZK12)
205;de;1;/;Stromzuführungskabel (ZK13)
205;en;1;/;Mains lead (ZK13)
205;fr;1;/;Câble d´alimentation (ZK13)
205;nl;1;/;Stroomtoevoerkabel (ZK13)
206;de;1;/;Stromzuführungskabel (ZK14)
206;en;1;/;Mains lead (ZK14)
206;fr;1;/;Câble d´alimentation (ZK14)
206;nl;1;/;Stroomtoevoerkabel (ZK14)
367;de;1;/;Adapter (AD1)
367;en;1;/;Adapter (AD1)
367;fr;1;/;Adaptateur (AD1)
367;nl;1;/;Adapter (AD1)
368;de;1;/;Adapter (AD2)
368;en;1;/;Adapters (AD2)
368;fr;1;/;Adaptateurs (AD2)
368;nl;1;/;Adapters (AD2)
369;de;1;/;Adapter (AD3)
369;en;1;/;Adapters (AD3)
369;fr;1;/;Adaptateurs (AD3)
369;nl;1;/;Adapters (AD3)
370;de;1;/;Maße 1400x1480 mm (DB1414)
370;en;1;/;Dimensions 1400x1480 mm (DB1414)
370;fr;1;/;Dimensions 1400x1480 mm (DB1414)
370;nl;1;/;Afmeting 1400x1480 mm (DB1414)
371;de;1;/;Maße 1400x1680 mm (DB1416)
371;en;1;/;Dimensions 1400x1680 mm (DB1416)
371;fr;1;/;Dimensions 1400x1680 mm (DB1416)
371;nl;1;/;Afmeting 1400x1680 mm (DB1416)
372;de;1;/;Maße 1400x1880 mm (DB1418)
372;en;1;/;Dimensions 1400x1880 mm (DB1418)
372;fr;1;/;Dimensions 1400x1880 mm (DB1418)
372;nl;1;/;Afmeting 1400x1880 mm (DB1418)
373;de;1;/;Maße 1600x1480 mm (DB1614)
373;en;1;/;Dimensions 1600x1480 mm (DB1614)
373;fr;1;/;Dimensions 1600x1480 mm (DB1614)
373;nl;1;/;Afmeting 1600x1480 mm (DB1614)
374;de;1;/;Maße 1600x1680 mm (DB1616)
374;en;1;/;Dimensions 1600x1680 mm (DB1616)
374;fr;1;/;Dimensions 1600x1680 mm (DB1616)
374;nl;1;/;Afmeting 1600x1680 mm (DB1616)
375;de;1;/;Maße 1600x1880 mm (DB1618)
375;en;1;/;Dimensions 1600x1880 mm (DB1618)
375;fr;1;/;Dimensions 1600x1880 mm (DB1618)
375;nl;1;/;Afmeting 1600x1880 mm (DB1618)
376;de;1;/;Maße 1800x1480 mm (DB1814)
376;en;1;/;Dimensions 1800x1480 mm (DB1814)
376;fr;1;/;Dimensions 1800x1480 mm (DB1814)
376;nl;1;/;Afmeting 1800x1480 mm (DB1814)
377;de;1;/;Maße 1800x1680 mm (DB1816)
377;en;1;/;Dimensions 1800x1680 mm (DB1816)
377;fr;1;/;Dimensions 1800x1680 mm (DB1816)
377;nl;1;/;Afmeting 1800x1680 mm (DB1816)
378;de;1;/;Maße 1800x1880 mm (DB1818)
378;en;1;/;Dimensions 1800x1880 mm (DB1818)
378;fr;1;/;Dimensions 1800x1880 mm (DB1818)
